price,address,bds,ba,sqft,image
"$1,200,000","478 E 96th St, Brooklyn, NY 11212",9,5,"3,520","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$499,999","3203 Nostrand Ave APT 6B, Brooklyn, NY 11229",2,2,968,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,395,000","30 W 60th St APT 12A, New York, NY 10023",2,2,"1,250","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$699,000","9314 177th St FLOOR 2, Jamaica, NY 11433",4,2,"1,500",N/A
"$1,200,000","1135 Rogers Ave, Brooklyn, NY 11226",6,3,"2,760","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$350,000","97-40 62nd Drive, Rego Park, NY 11374",Studio,1,650,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$829,900","1459 E 89th St, Brooklyn, NY 11236",6,3,"2,520","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$699,000","25 Murray St, Staten Island, NY 10309",4,2,"1,800","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Est. $448,972","126 Blake Ave, Brooklyn, NY 11212",4,2,"1,512","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
$--,"260 Utter Ave, Staten Island, NY 10314",4,4,"1,460","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$275,000","2555 E 12th St #Z, Brooklyn, NY 11235",1,1,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$799,000","2701 Cropsey Ave APT 2C, Brooklyn, NY 11214",3,2,"1,379","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Est. $368,156","38 Eleanor Pl, Staten Island, NY 10303",3,2,"1,159","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$853,000","16023 78th Rd, Flushing, NY 11366",4,3,"1,350","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$659,999","696 E 53rd St, Brooklyn, NY 11203",3,2,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$539,999","1313 E 98th St, Brooklyn, NY 11236",3,2,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$810,000","1581 Bergen St, Brooklyn, NY 11213",4,2,"1,728","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Est. $505,373","11528 203rd St, Saint Albans, NY 11412",3,1,"13,604","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Est. $921,166","3854 Laurel Ave, Brooklyn, NY 11224",6,4,"2,720","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Est. $575,990","11530 116th St, Jamaica, NY 11420",--,--,"1,556",N/A
"Est. $380,221","1263 E 80th St #42, Brooklyn, NY 11236",--,--,931,N/A
